0.00026	0.00040	0.0023	0.0077	0.0022	0.028	0.033	NaN	
0.00009	0.00042	0.0021	0.0079	0.0056	0.015	0.029	0.027	
NaN	0.00037	0.0011	0.0051	0.010	0.019	0.028	0.021	
NaN	NaN	0.00035	0.0018	0.0062	0.011	0.011	0.015	
0.00007	NaN	0.00078	0.00030	0.0010	0.0027	0.0036	0.0035	
NaN	0.00010	0.00015	0.0012	0.0013	0.00053	0.0028	0.0048	
0.00004	0.00010	0.00058	0.00043	0.00027	0.0012	0.0026	NaN	
NaN	0.00019	0.00067	0.0012	0.00026	0.00049	0.00043	0.0029	
NaN	NaN	0.00015	NaN	NaN	0.00026	NaN	0.00090	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
